user,code,quantity,target_date,store,name,unit,LT,price,buy_price,status,order_id
ohhsalad,100002,4,2022-03-16,선릉,피양파,1Kg,1,1500,1500,주문완료,oid17508144
ohhsalad,100003,3,2022-03-16,선릉,계란/특란,1판,1,5700,5700,주문완료,oid31502853
ohhsalad,100004,4,2022-03-16,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid39048888
ohhsalad,100001,1,2022-03-17,선릉,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid70074848
ohhsalad,100002,4,2022-03-17,선릉,피양파,1Kg,1,1500,1500,주문완료,oid75398854
ohhsalad,100003,2,2022-03-17,선릉,계란/특란,1판,1,5700,5700,주문완료,oid64504814
ohhsalad,100002,4,2022-03-18,선릉,피양파,1Kg,1,1500,1500,주문완료,oid40348954
ohhsalad,100003,3,2022-03-18,선릉,계란/특란,1판,1,5700,5700,주문완료,oid42511454
ohhsalad,100004,2,2022-03-18,선릉,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid36091893
ohhsalad,100005,1,2022-03-18,선릉,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid57288709
ohhsalad,100001,2,2022-03-02,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid29345616
ohhsalad,100002,4,2022-03-02,강남,피양파,1Kg,1,1500,1500,주문완료,oid61909260
ohhsalad,100003,2,2022-03-02,강남,계란/특란,1판,1,5700,5700,주문완료,oid5986085
ohhsalad,100004,4,2022-03-02,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid90493525
ohhsalad,100005,1,2022-03-02,강남,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid54053032
ohhsalad,100001,2,2022-03-03,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid25347174
ohhsalad,100002,2,2022-03-03,강남,피양파,1Kg,1,1500,1500,주문완료,oid96957601
ohhsalad,100003,2,2022-03-03,강남,계란/특란,1판,1,5700,5700,주문완료,oid60676119
ohhsalad,100004,2,2022-03-03,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid45820366
ohhsalad,100001,2,2022-03-04,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid6605068
ohhsalad,100002,2,2022-03-04,강남,피양파,1Kg,1,1500,1500,주문완료,oid95277590
ohhsalad,100003,4,2022-03-04,강남,계란/특란,1판,1,5700,5700,주문완료,oid10482137
ohhsalad,100001,2,2022-03-05,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid88469386
ohhsalad,100002,2,2022-03-05,강남,피양파,1Kg,1,1500,1500,주문완료,oid34800458
ohhsalad,100003,2,2022-03-05,강남,계란/특란,1판,1,5700,5700,주문완료,oid22935065
ohhsalad,100002,4,2022-03-07,강남,피양파,1Kg,1,1500,1500,주문완료,oid21153933
ohhsalad,100003,2,2022-03-07,강남,계란/특란,1판,1,5700,5700,주문완료,oid80000120
ohhsalad,100004,1,2022-03-07,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid94102795
ohhsalad,100005,1,2022-03-07,강남,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid55325343
ohhsalad,100001,2,2022-03-08,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid15324798
ohhsalad,100002,2,2022-03-08,강남,피양파,1Kg,1,1500,1500,주문완료,oid69102064
ohhsalad,100003,2,2022-03-08,강남,계란/특란,1판,1,5700,5700,주문완료,oid21534876
ohhsalad,100005,1,2022-03-08,강남,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid15275784
ohhsalad,100001,2,2022-03-09,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid49476386
ohhsalad,100002,4,2022-03-09,강남,피양파,1Kg,1,1500,1500,주문완료,oid26674372
ohhsalad,100003,2,2022-03-09,강남,계란/특란,1판,1,5700,5700,주문완료,oid60673120
ohhsalad,100004,2,2022-03-09,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid54803507
ohhsalad,100001,2,2022-03-10,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid1632705
ohhsalad,100002,4,2022-03-10,강남,피양파,1Kg,1,1500,1500,주문완료,oid25229256
ohhsalad,100003,2,2022-03-10,강남,계란/특란,1판,1,5700,5700,주문완료,oid21718092
ohhsalad,100004,1,2022-03-10,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid24602394
ohhsalad,100002,4,2022-03-11,강남,피양파,1Kg,1,1500,1500,주문완료,oid40396357
ohhsalad,100003,2,2022-03-11,강남,계란/특란,1판,1,5700,5700,주문완료,oid21256770
ohhsalad,100005,1,2022-03-11,강남,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid31914216
ohhsalad,100001,2,2022-03-12,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid28469281
ohhsalad,100002,2,2022-03-12,강남,피양파,1Kg,1,1500,1500,주문완료,oid41801977
ohhsalad,100002,4,2022-03-14,강남,피양파,1Kg,1,1500,1500,주문완료,oid314385
ohhsalad,100003,2,2022-03-14,강남,계란/특란,1판,1,5700,5700,주문완료,oid36792505
ohhsalad,100004,2,2022-03-14,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid70620416
ohhsalad,100002,2,2022-03-15,강남,피양파,1Kg,1,1500,1500,주문완료,oid86192676
ohhsalad,100003,2,2022-03-15,강남,계란/특란,1판,1,5700,5700,주문완료,oid59576886
ohhsalad,100001,2,2022-03-16,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid26039943
ohhsalad,100002,2,2022-03-16,강남,피양파,1Kg,1,1500,1500,주문완료,oid2496832
ohhsalad,100003,3,2022-03-16,강남,계란/특란,1판,1,5700,5700,주문완료,oid93894841
ohhsalad,100004,1,2022-03-16,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid83917942
ohhsalad,100001,1,2022-03-17,강남,샐러드믹스/전처리,1Kg/PAC,1,6000,6000,주문완료,oid61439731
ohhsalad,100002,2,2022-03-17,강남,피양파,1Kg,1,1500,1500,주문완료,oid88189452
ohhsalad,100003,2,2022-03-17,강남,계란/특란,1판,1,5700,5700,주문완료,oid61989439
ohhsalad,100002,4,2022-03-18,강남,피양파,1Kg,1,1500,1500,주문완료,oid90208665
ohhsalad,100003,3,2022-03-18,강남,계란/특란,1판,1,5700,5700,주문완료,oid14660317
ohhsalad,100004,1,2022-03-18,강남,우삼겹양지슬라이스,2Kg/PAC,1,17000,17000,주문완료,oid59391935
ohhsalad,100005,1,2022-03-18,강남,방울토마토,5Kg/Box,1,39000,39000,주문완료,oid13851680
ohhsalad,100002,2,2022-03-02,시청,피양파,1Kg,1,1500,1500,주문완료,oid49986106
